nama_bandara,latitude,longitude,airport_code
Samboka Airstrip,-4.836839,139.714615,ID-0130
Sape Airstrip,-4.7655,140.5054,ID-0131
Sela Airstrip,-4.550661,139.734453,ID-0133
Seradala Airstrip,-4.9797,139.9035,ID-0134
Serimbu Airstrip,0.741,110.123,ID-0135
Serukam,0.797,109.3317,ID-0136
Sikari Airstrip,-2.7616,138.3859,ID-0137
Silimo Airstrip,-4.466012,138.943062,ID-0138
Syekh Hamzah Fansyuri Airport,2.2695,97.9666,ID-0139
Siriwo Airstrip,-3.5388,135.948971,ID-0141
Soba Airstrip,-4.345427,139.179196,ID-0142
Sumo Airstrip,-4.750469,139.353338,ID-0143
Sumtamon Airstrip,-4.8083,140.1715,ID-0144
Sungai Tontang Airstrip,-0.731052,110.376967,ID-0145
Taige Airstrip,-1.3105,133.8517,ID-0148
Taiyeve Airstrip,-3.2331,138.4458,ID-0149
Takar Airstrip,-2.0375,139.113,ID-0150
Tangma Airstrip,-4.25981,139.046631,ID-0151
Tanjung Maju Airstrip,-0.7102,110.4991,ID-0152
Tayayi Airstrip,-3.0447,137.6217,ID-0153
Testega Airstrip,-1.378076,133.594204,ID-0154
Timepa Airstrip,-4.0047,135.7872,ID-0155
Turmo Airstrip,-3.273581,137.558,ID-0156
Waff Airstrip,-2.3307,138.7489,ID-0157
Walerek Airstrip,-3.993361,139.491977,ID-0158
Walma Airstrip,-4.217782,139.393555,ID-0159
Wandama Airstrip,-4.5472,138.55225,ID-0160
Wanggemalu Airstrip,-5.4974,139.9783,ID-0161
Wolo Airstrip,-3.8505,138.8603,ID-0162
Wunin Airstrip,-3.650771,138.554313,ID-0163
Yaniruma Airstrip,-5.4206,139.8197,ID-0164
Yapil Airstrip,-4.540447,140.565691,ID-0165
Yigi Airstrip,-4.228468,138.393778,ID-0166
Yogosem Airstrip,-4.247695,139.168977,ID-0167
Alama Airstrip,-4.2631,137.892387,ID-0168
Bawean - Harun Thohir Airport,-5.723628,112.678889,BXW
Aideralma Airstrip,-4.3341,137.8316,ID-0171
Enggano Airport,-5.305621,102.189546,ID-0172
Apowo Airstrip,-4.063248,135.560018,ID-0173
Aurimi Wzil Airstrip,-2.182,138.4343,ID-0174
Bareri Airport,-2.981793,137.782715,ID-0175
Bari Airport,-3.959166,139.901563,ID-0176
Basiem Airport,-6.058573,138.383542,ID-0177
Awimbon Airstrip,-5.165884,140.381568,ID-0178
Anik Airstrip,0.537465,109.742062,ID-0179
Yaosakor Airstrip,-5.603899,138.46525,ID-0180
Weda Bay Airport,0.468328,127.945101,ID-0181
Tanjung Lesung Airport,-6.49155,105.66967,ID-0186
Sorake Airport,0.58884,97.71899,ID-0190
Tambling Airport,-5.92113,104.55816,ID-0191
Kubibkop Airport,-4.79436,140.69447,ID-0193
Korowai Batu Danowage Airport,-5.2127,140.017582,ID-0194
Molding Airstrip,-4.891004,140.74213,ID-0195
Tarup Airstrip,-5.097671,140.821627,ID-0196
Tinibil Airstrip,-4.824475,140.87378,ID-0197
Denom Airstrip,-5.144915,140.967065,ID-0198
Okbab Airstrip,-4.586015,140.499844,ID-0199
Alemson Airstrip,-4.816571,140.222819,ID-0200
Kotyobakon Airstrip,-4.638376,140.654907,ID-0201
Mipol Airstrip,-4.605771,140.634806,ID-0202
Binban Airstrip,-4.585309,140.533962,ID-0203
Kaklup Airstrip,-4.620771,140.531688,ID-0204
Maksum Airstrip,-4.58066,140.515995,ID-0205
Maksum Airstrip,-4.632613,140.497466,ID-0206
Pedam Airstrip,-4.539485,140.462018,ID-0207
Dumpasik Airstrip,-4.455194,140.508871,ID-0208
Bordamban Airport,-4.439924,140.484527,ID-0209
Kirimu Airstrip,-4.464786,140.393016,ID-0210
Hangmata Airstrip,-4.49226,140.657322,ID-0211
Blangkejeren Airport,3.94548,97.35968,GYO
Bobkamu Airstrip,-4.463818,140.262414,ID-0215
Weime Airstrip,-4.354141,140.260381,ID-0216
Tumdungbon Airstrip,-5.179406,140.520099,ID-0217
Kawor Airstrip,-5.232712,140.519992,ID-0218
Dewok Airport,-5.278326,140.681963,ID-0219
Manggelum Airport,-5.416371,140.436231,ID-0220
Begowre Airstrip,-2.982106,140.925279,ID-0222
Ideduna Airstrip,-3.961954,135.482025,ID-0223
Bias Airstrip,-3.999569,140.82041,ID-0224
Walibaru Airstrip,-5.39973,140.198652,ID-0225
Taria Airstrip,-3.410527,138.895308,ID-0226
Dadou Airstrip,-3.686435,136.063217,ID-0227
Daboto Airstrip,-3.295335,136.408213,ID-0228
Zotadi Airstrip,-3.67449,136.56833,ID-0229
Pagamba Airstrip,-3.64307,136.67854,ID-0230
Supugi Airstrip,-4.328303,139.098995,ID-0233
Grati Airport,-7.67253,113.03682,ID-0237
Pasirian Airfield,-8.27881,113.21208,ID-0240
Citeurup Paraglider Airport,-6.50814,106.87836,ID-0242
Lido Airstrip,-6.75333,106.81171,ID-0243
Cikembar Airport,-6.96924,106.78866,ID-0244
Asua Airport,-4.686881,140.789845,ID-0246
Mewengde Airstrip,-4.820969,140.237545,ID-0247
Eragayam Airport,-3.733891,138.747881,ID-0248
Mamit Airstrip,-3.589005,138.396857,ID-0249
Yobesorum Airstrip,-4.285211,140.026433,ID-0250
Bolakna Airstrip,-4.23424,140.000619,ID-0251
Baya Biru Airport,-3.618606,136.267033,ID-0255
Supleyu Airstrip,-4.43285,140.16682,ID-0256
Tanime Airstrip,-4.45145,140.13042,ID-0257
Suaka Airstrip,-4.464786,140.099008,ID-0258
Eipomek Airstrip,-4.45584,140.02531,ID-0259
Famek Airstrip,-4.425722,140.021954,ID-0260
Soya Airstrip,-4.37183,139.91673,ID-0261
Aksal Airstrip,-4.34395,139.88754,ID-0262
Kalbok Airstrip,-4.30181,139.80474,ID-0263
Kono Airstrip,-4.275826,139.735794,ID-0264
Trison Airstrip,-4.26309,139.68456,ID-0265
Muhumu Airstrip,-4.21977,139.41273,ID-0266
Waniyok Airport,-4.21672,139.42436,ID-0267
Asotipo Airstrip,-4.17695,138.99303,ID-0268
Basir Airstrip,-4.372814,140.69684,ID-0269
Milki Airstrip,-4.097372,140.711331,ID-0270
Dulis Airstrip,-4.077257,140.661553,ID-0271
Kobok Airport,1.10189,127.703003,ID-0273
Sangia Nibandera Airport,-4.338158,121.524047,KXB
Kediri Airport (Under Construction),-7.750278,111.947222,ID-0277
Yabirik Airstripe,-4.455186,138.823079,ID-0278
Helariki Airstrip,-4.176059,139.439353,ID-0279
Samenage Airstrip,-4.395446,139.030167,ID-0280
Wakbisik Airstrip,-4.349896,139.211615,ID-0281
Owitlep Airstrip,-4.314543,139.329624,ID-0282
Apalapsili Airport,-3.882495,139.310932,AAS
Anggi Airport,-1.3858,133.8737,AGD
Mina Wanam Airport,-7.540726,139.110916,ID-AHI
Gunung Batin Airport,-4.61113977432251,105.23200225830078,AKQ
Ayawasi Airport,-1.159779,132.464082,AYW
Boalang Airport,-0.9728959798812866,122.1449966430664,BJG
Batom Airport,-4.442687,140.883565,BXM
Dabra Airport,-3.27061,138.613433,DRH
Elelim Airport,-3.785922,139.384497,ELR
Ewer Asmat Airport,-5.496185,138.078361,EWE
Gag Island Airport,-0.4005559980869293,129.89500427246094,GAV
Ilu Airport,-3.7051,138.2002,IUL
Karubaga Airport,-3.684615,138.479018,KBF
Kambuaya Airport,-1.316815,132.286987,KBX
Kamur Airport,-6.1851,138.6372,KCD
Kotabangun Airport,-0.266669988632,116.583335876,KOD
Departi Parbo Airport,-2.093,101.4683,KRC
Kelila Airport,-3.728968,138.710117,LLN
Lembata Wonopito Airport,-8.36119,123.43879,LWE
Lunyuk Airport,-8.9889,117.2158,LYK
Masalembo Airport,-5.583330154418945,114.43299865722656,MSI
Banaina Airport,2.72305011749,117.125999451,NAF
Obano Airport,-3.9106,136.2306,OBD
Unknown Airport,-0.63333,103.300003,ID-PPJ
Pomala Airport,-4.181013,121.614665,ID-PUM
Jenderal Besar Soedirman Airport,-7.461342,109.414612,PWL
